Sentence_id,Text,Speaker,Speaker_title,Speaker_party,File_id,Length,Line_number,Sentiment,Verdict
53,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,52,53,0.0,1
54,But we also have to take demand seriously.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,54,0.0,-1
55,"You know, we have five percent of the world's population in this country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,13,55,0.0,1
56,We're consuming 50 percent of the world's cocaine.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,56,-0.740979,1
57,Doing better in the neighborhoods.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,5,57,0.443148,-1
58,"But I think we're all in this together, and my plea to the American people is values in the schools.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,20,58,0.209117,-1
60,I agree with Mr. Bush that values are important.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,9,60,0.25767,-1
61,But it's important that our leaders demonstrate those values from the top.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,61,0.743346,-1
62,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,19,62,0.0,-1
63,Here we are with a government that's been dealing with a drug-running Panamanian dictator.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,14,63,-0.414556,0
64,We've been dealing with him; he's been dealing drugs to our kids.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,64,-0.568581,0
65,Governors like me and others have been trying to deal with the consequences.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,13,65,0.0,-1
66,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,42,66,-0.335723,0
67,We're providing that young woman with help.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,7,67,0.824474,-1
68,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,38,68,-0.784509,-1
69,"Values begin at the top, in the White House.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,9,69,0.282993,-1
70,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,21,70,0.0,-1
74,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,46,74,0.824869,-1
75,And Mr. Bush is right - the two go hand in hand.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,75,0.0,-1
76,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,78,76,-0.395577,-1
77,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,52,77,0.0,1
78,But we also have to take demand seriously.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,78,0.0,-1
79,"You know, we have five percent of the world's population in this country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,13,79,0.0,1
81,And in my state I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,29,81,0.692874,1
82,We're helping youngsters; we're reaching out to them.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,82,0.705597,-1
83,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,39,83,0.0,-1
84,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,25,84,-0.573052,-1
85,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,32,85,0.0,-1
86,"If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,49,86,-0.318635,-1
88,"Well, the other day my opponent was given a briefing by the CIA.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,13,88,-0.45282,0
89,I asked for and received the same briefing.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,89,0.0,0
90,I am very careful in public life about dealing with classified information.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,12,90,0.347374,-1
91,And what I'm about to say is unclassified.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,91,-0.336734,-1
92,Seven administrations were dealing with Mr. Noriega.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,7,92,-0.288563,1
93,It was the Reagan-Bush administration that brought this man to justice.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,93,0.238287,1
94,"And as the governor of Massachusetts knows, there was no evidence that governor - that Mr. Noriega was involved in drugs, no hard evidence until we indicted him.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,28,94,0.0,1
95,And so I think it's about time we get this Noriega matter in perspective.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,14,95,0.0,-1
96,Panama is a friendly country.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,5,96,0.744496,-1
97,"I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,39,97,-0.321693,1
98,And we want to bring him to justice.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,98,0.313019,-1
99,And so call off all those pickets out there that are trying to tear down seven different administrations.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,18,99,-0.636773,-1
105,"Yes, I've been very specific about those, John.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,105,0.299943,-1
106,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,38,106,-0.43016,1
107,"First, I've suggested that there are certain weapons systems which we don't need and we can't afford.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,17,107,-0.33748,-1
108,"Mr. Bush has been critical of me for that, but I think those are the kinds of tough choices you have to make.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,23,108,0.0,-1
109,"I've also suggested that there are weapons systems that we should proceed on, and I've outlined those in detail.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,19,109,0.0,0
110,"Secondly, we've got to invest in economic growth in this country, in every part of this country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,17,110,0.0,-1
111,Building that kind of growth expands revenues and helps to bring down that deficit.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,14,111,0.705812,-1
112,"Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,28,112,0.321726,-1
113,"And, finally, we've got to go out there and collect billions and billions of dollars in taxes owed that aren't being paid to this country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,25,113,-0.703723,1
114,It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,23,114,-0.731004,-1
115,I've also suggested that on the domestic side there are areas where we can make some cuts.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,17,115,-0.375396,-1
116,"We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we've been doing under this administration.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,42,116,0.538123,1
117,"We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,35,117,0.827517,-1
118,The thing I don't understand about Mr. Bush's approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,31,118,-0.789342,-1
119,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,56,119,-0.816238,1
120,He also wants to spend a lot of money on additional programs.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,120,-0.296783,-1
121,"If he keeps this up, he's going to be the Joe Isuzu of American politics.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,15,121,0.0,-1
123,But I hope you won't take my five seconds away from me.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,123,-0.419814,-1
124,I will say this -,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,5,124,0.282412,-1
126,"If he's serious about what he's saying, then the only place he can go to balance that budget is to raid the Social Security Trust Fund, and he tried that in 1985, and I think he's going to try it again.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,41,126,-0.214182,1
128,Is this the time to unleash our one-liners?,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,128,-0.644309,-1
132,"There are so many things there, I don't quite know where to begin.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,13,132,-0.469881,-1
133,"When you cut capital gains, you put people to work.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,10,133,0.0,-1
134,John Kennedy proposed cutting capital gains.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,6,134,0.0,1
135,"Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,20,135,-0.69278,1
136,It's not going to cost the government money.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,136,-0.575098,-1
137,"It's going to increase revenues to the federal government, and it's going to create jobs.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,137,0.0,-1
138,So that's one of the things that I think makes a big difference between us.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,138,0.59259,-1
139,"Massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,16,139,0.0,1
140,That happens to be a fact.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,6,140,-0.352438,1
141,"And so let's kind of stay on the issue, and I have made a specific proposal for what I call a flexible freeze.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,23,141,0.825272,-1
142,"And it permits - economists on the East Coast and West think it's good - it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,35,142,0.205099,-1
148,I think it's the Republican Party and my concern to bring it down.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,13,148,-0.734239,-1
149,"And presidential leadership that I want to provide in this area will bring it down, but we've got to get the Democrats - Congress under control.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,26,149,-0.256175,-1
150,"They do all the spending, they appropriate every dime and tell us how to spend every dime.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,150,0.383752,-1
151,"I'd like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,20,151,-0.361645,1
152,He has to operate in Massachusetts under a balanced budget proviso.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,152,0.0,-1
153,I would like a balanced budget amendment.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,7,153,0.0,-1
154,But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,21,154,-0.450676,1
155,So the problem is - it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,31,155,-0.862461,-1
156,It is that we are continuing to spend too much.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,10,156,0.297221,-1
157,"So, my formula says grow at the rate of inflation.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,10,157,0.0,-1
158,Permit the president to set the priorities on where we do the spending.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,13,158,0.230066,-1
159,"And remember the Federal deficit has come down $70 billion in one year, in 1987.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,159,-0.557797,1
160,And if we - and the - actually this year Congress is doing a little better in controlling the growth of spending.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,22,160,0.0,-1
161,Spending was only up something like 4 percent.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,161,-0.261261,1
162,"So, it isn't that we're taking too little - from taxpayer - we're spending too much still.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,162,-0.816779,-1
163,"And the formula I've given you works, we've put it through a good economic model, we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who's a very respected economist in the - Massachusetts.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,39,163,0.886932,0
164,"And they agree, that if we can do what I've said, we can get it down without going and socking the American taxpayer once again.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,25,164,0.0,-1
165,"Capital gains, one more point on that, please let's learn from history.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,12,165,0.645303,-1
166,"A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,16,166,0.0,-1
168,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,43,168,0.69307,-1
169,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,68,169,-0.545539,1
170,Why that's more than the average teacher makes.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,170,-0.58524,1
171,"We've had enough of that, ladies and gentlemen.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,171,0.567837,-1
173,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,32,173,-0.421503,-1
179,"One thing I will not do is sock every business in the country and, thus, throw some people out of work.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,21,179,-0.506617,-1
180,I want to keep this economic recovery going.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,180,-0.658478,-1
181,"More Americans at work today than any time in history, a greater percentage of the work force.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,181,-0.253817,1
182,What I will do is permit people to buy into Medicaid.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,182,0.0,-1
183,I believe that's the answer.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,5,183,0.357551,-1
184,I am proud to have been part of an administration that past the first catastrophic health bill.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,184,0.673702,1
185,And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,23,185,0.910962,-1
186,But we've got to keep going forward without killing off the engine and throwing people out of work.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,18,186,-0.438337,-1
187,"So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,187,-0.7868,-1
188,"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it.""",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,62,188,-0.592338,-1
189,And I think then you're going to see that people are put out of work.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,189,0.207412,-1
190,"All these programs - and this cost on his - is - was - I saw an estimate, I'd love to know what he thinks, $35 - $40 billion - and it seems to me that somebody pays that.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,39,190,0.83444,-1
191,There isn't any such thing as something free out there.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,10,191,0.0,-1
192,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,27,192,-0.543282,-1
193,"So, I think we ought to do it in the Medicaid system.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,12,193,-0.449121,-1
194,I think we ought to do it by full enforcement of the catastrophic health insurance.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,194,-0.681559,-1
195,I think we ought to do it by everybody doing what they can do out of conscience.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,195,0.0,-1
196,It's a terrible problems in terms of flexibility on private insurance.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,196,-0.623454,-1
197,But I just don't want to mandate it and risk putting this - setting the recovery back.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,197,-0.65756,-1
199,"But, George, that's no answer.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,5,199,-0.383335,-1
200,"You don't like the answer, but it's an answer.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,9,200,0.0,-1
201,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,40,201,-0.710161,1
203,All of them with little or no health insurance.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,9,203,-0.532854,0
204,One of them was a father who had been laid off a few months ago and lost his health insurance.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,20,204,0.0,0
205,"Has an 11 year old son and can't let that son compete in sports and Little League, because he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,38,205,-0.752735,0
206,My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,41,206,0.948748,1
207,"The fact of the matter is that employers who today are insuring their employees are paying the freight, because they're paying for those who aren't.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,25,207,0.0,-1
208,And I think it's time that when you got a job in this country it came with health insurance.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,19,208,0.828391,-1
209,That's the way we're going to provide basic health security for all of the citizens of this country of ours.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,20,209,0.872088,-1
215,"Well, Anne, let me just say before I answer your question that I didn't know that the Vice President attacked our program in Massachusetts.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,24,215,-0.502384,0
217,Because has won the support of a great many people all over the state and I think it's a model for what I hope we can do across the country.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,30,217,0.84145,-1
218,"But when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,19,218,0.0,0
220,It was in 1964 and that's what he called Medicare.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,10,220,0.0,0
221,"Well, he was wrong then and he's wrong now.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,9,221,-0.328618,-1
226,Let me say this about AIDS.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,6,226,0.0,-1
227,"It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,73,227,0.818781,1
229,And I would encourage the current administration to proceed with that kind of flexibility where it's appropriate and where it's done carefully and responsibly.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,24,229,0.953303,-1
230,But we have not had the kind of leadership we should have had.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,13,230,0.0,-1
231,"In this particular area, I think the Vice President and I are in general agreement on what we have to do.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,21,231,0.0,-1
232,The special Federal commission made good solid recommendations.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,232,0.812467,-1
233,I think we're both supportive of them and I would strongly lead in that area as I have in my state as Governor.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,23,233,0.671864,-1
235,"Well, we're on the right track.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,6,235,0.776336,-1
236,The NIH is doing a good job in research.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,9,236,0.478987,-1
237,The Surgeon General is doing a good job in encouraging the proper kind of education.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,237,0.911503,-1
238,I notice that the Governor did not mention any testing.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,10,238,-0.406676,0
239,But we got to have a knowledge base.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,239,0.242445,-1
240,"Testing should be confidential, but we have to have a knowledge.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,240,0.0,-1
241,We can't simply stick our heads in the sands in terms of testing.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,13,241,-0.287947,-1
242,I'm Chairman of the President's Task Force on Regulatory Relief and we are working with the FDA and they have sped up bringing drugs to market that can help.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,29,242,-0.31956,0
243,"And you got to be careful here, because there's a safety factor, but I think these things - and then also I am one who believes we've got to go the extra mile in clean - being sure that that blood supply is pure.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,44,243,0.82803,-1
